algorithm,A step-by-step procedure for solving a problem or accomplishing a task.
array,A data structure that can store multiple values in a single variable.
binary,Binary is a base-2 number system using only 0 and 1 to represent values.
byte,A unit of digital information that consists of 8 bits.
cache,A hardware or software component that stores data so future requests are served faster.
compiler,A program that translates code written in a high-level language into machine language.
encryption,The process of converting data into a code to prevent unauthorized access.
function,A block of code designed to perform a specific task when called.
variable,A storage location paired with an associated name that holds data.
test,This is a test definition
